i.no,Model,Brand,Size,Store SI No,Laptop Serial No,PO Numbers,Warranty End - EOL,Age in Months,Cost Center,Admin,Site,Status,Physical Location,Warranty Start Date,Warranty End Date,Warranty End Qtr,Assigned NTID,Emp ID,Employee Full Name,Employee Type,CC,Assigned Dept,New Hire/Replacement/Loner,Assign Date,Issues with Keyboard and Mouse (Y/N),Docking SI.No (Y/N),Remarks,Age Left in Months,Serial No,Assigned To,Location,Warranty Month
78.0,MacBook Pro,HP,13 inch,ST9100,6730088508825.0,PO670264,2025-12-28,30.0,CC104,admin2,Hyderabad,Returned,"34752 Amber Mountain, Port Holly, ME 76129",2022-12-29,2025-12-28,Q4-2025,fkim,EMP1138,April Ross,Full Time,CC103,Operations,Replacement,2025-09-12,Y,N,Send Mrs response join their Congress.,6.0,,,,2025-12
79.0,MacBook Pro,Dell,15 inch,ST8769,3330062614325.0,PO703578,2026-10-06,20.0,CC102,admin2,Mumbai,Active,"435 Brittany Crossroad Suite 086, Hughesborough, NE 48543",2023-10-07,2026-10-06,Q4-2026,ehogan,EMP3083,Joel Baxter,Full Time,CC101,HR,New Hire,2024-11-27,N,N,Meet general mention nor nation audience involve environment.,16.0,,,,2026-10
80.0,Latitude 5410,Dell,13 inch,ST8174,8831414771017.0,PO679590,2026-01-23,29.0,CC104,admin3,Delhi,Active,"852 Mcneil Place, Christopherhaven, FL 74273",2023-01-24,2026-01-23,Q1-2026,lsmith,EMP9232,Mary Cole,Intern,CC101,Operations,New Hire,2023-05-17,N,Y,Available human language five.,7.0,,,,2026-01
81.0,EliteBook 840,Dell,17 inch,ST1772,8152610384109.0,PO526996,2025-10-04,32.0,CC104,admin3,Hyderabad,Expired,"46199 Leonard Court Apt. 745, Lake Jared, AZ 66795",2022-10-05,2025-10-04,Q4-2025,bbridges,EMP5498,Elizabeth Rangel,Full Time,CC101,HR,Loner,2023-05-18,Y,Y,Trial or yet church area law.,4.0,,,,2025-10
82.0,ThinkPad T14,Apple,14 inch,ST1087,4492672249348.0,PO517867,2025-08-07,34.0,CC104,admin3,Hyderabad,Assigned,"PSC 4669, Box 7824, APO AA 33904",2022-08-08,2025-08-07,Q3-2025,dwilliams,EMP9186,Charlotte Harris PhD,Full Time,CC103,IT,Loner,2025-04-12,Y,N,Leader international professor reach take road loss director.,2.0,,,,2025-08
83.0,Latitude 5410,HP,16 inch,ST4068,8272627840143.0,PO359096,2026-09-30,20.0,CC102,admin1,Hyderabad,Expired,"06205 Kristin Radial Apt. 881, Thorntonfurt, KS 99723",2023-10-01,2026-09-30,Q3-2026,ojohnson,EMP5318,James Mosley,Full Time,CC102,IT,New Hire,2026-09-02,N,N,Share put work history guy TV film.,16.0,,,,2026-09
84.0,Latitude 5410,Apple,17 inch,ST6779,6499519951844.0,PO565245,2027-03-12,15.0,CC103,admin1,Delhi,Expired,"0853 Roberts Lodge Apt. 255, North Ashleyfurt, WA 08743",2024-03-12,2027-03-12,Q1-2027,cassandra78,EMP2390,Karen Turner,Full Time,CC102,IT,Loner,2024-06-24,N,N,Forget book guess key detail option.,21.0,,,,2027-03
85.0,Latitude 5410,Apple,16 inch,ST4024,7802760092959.0,PO304701,2026-05-26,25.0,CC102,admin1,Bangalore,Active,"83778 Gardner Camp, Ronaldland, MI 20720",2023-05-27,2026-05-26,Q2-2026,lopezdrew,EMP1903,Patrick Cisneros,Full Time,CC102,IT,New Hire,2023-07-05,Y,Y,Strategy smile then later candidate.,11.0,,,,2026-05
86.0,ThinkPad T14,HP,13 inch,ST6723,7849955089042.0,PO452302,2026-11-19,19.0,CC104,admin3,Delhi,Expired,"47023 Christopher Keys Apt. 666, Gonzalezton, NC 19163",2023-11-20,2026-11-19,Q4-2026,vmartinez,EMP1530,James Gordon,Full Time,CC101,Finance,Replacement,2026-06-18,Y,N,Building since address raise threat subject school.,17.0,,,,2026-11
87.0,Latitude 5410,Lenovo,17 inch,ST6374,6895911335839.0,PO619948,2025-11-22,31.0,CC102,admin1,Bangalore,Active,"USNS Brown, FPO AP 77285",2022-11-23,2025-11-22,Q4-2025,robert06,EMP9284,Brandi Hernandez,Contract,CC103,IT,Loner,2023-05-01,Y,Y,Water environment arm.,5.0,,,,2025-11
88.0,EliteBook 840,HP,14 inch,ST4106,3895039332751.0,PO881036,2027-06-17,12.0,CC103,admin1,Delhi,Assigned,"3178 Martinez Courts Apt. 490, North Jamestown, IL 32165",2024-06-17,2027-06-17,Q2-2027,dunnchristopher,EMP2832,David Bennett,Intern,CC102,Finance,Loner,2027-06-15,N,N,Any city doctor use radio.,24.0,,,,2027-06
89.0,ThinkPad T14,Lenovo,14 inch,ST6121,4546968455958.0,PO277249,2026-12-20,18.0,CC101,admin1,Mumbai,Assigned,"866 Richardson Valleys Apt. 358, West Erikaside, WA 76594",2023-12-21,2026-12-20,Q4-2026,eflynn,EMP1793,Amy Stevens,Contract,CC104,HR,Replacement,2025-08-29,Y,N,Before dark determine difference way nothing.,18.0,,,,2026-12
90.0,Latitude 5410,Apple,14 inch,ST3462,4959385372508.0,PO703216,2027-04-03,14.0,CC102,admin1,Bangalore,Expired,"Unit 0787 Box 4401, DPO AA 68846",2024-04-03,2027-04-03,Q2-2027,francisco73,EMP1315,Mr. Robert Hall,Contract,CC103,Finance,New Hire,2025-06-13,N,N,Third mouth about.,22.0,,,,2027-04
91.0,ThinkPad T14,Lenovo,13 inch,ST1700,6322542574097.0,PO636057,2026-09-24,21.0,CC104,admin1,Delhi,Active,"458 Paul Light Suite 830, Katelynberg, CT 33370",2023-09-25,2026-09-24,Q3-2026,monica52,EMP4222,Jamie Spencer,Full Time,CC103,HR,New Hire,2025-05-13,Y,N,White fill prove whether thing.,15.0,,,,2026-09
92.0,MacBook Pro,Apple,14 inch,ST6665,1101389157701.0,PO937592,2026-06-22,24.0,CC104,admin2,Bangalore,Assigned,"930 Janice Shoal, Theodoreport, LA 87313",2023-06-23,2026-06-22,Q2-2026,glennrobert,EMP3823,Michael Mckinney,Full Time,CC101,IT,Loner,2026-01-07,Y,N,Fish son edge discussion crime nature.,12.0,,,,2026-06
93.0,MacBook Pro,Apple,16 inch,ST9083,6719806589124.0,PO903833,2025-10-31,31.0,CC104,admin1,Hyderabad,Expired,"63388 Dixon Radial Apt. 840, Adamfort, CT 68241",2022-11-01,2025-10-31,Q4-2025,amyforbes,EMP4444,Kevin Thompson,Full Time,CC103,IT,Loner,2024-12-31,N,Y,Simply oil decision result.,5.0,,,,2025-10
94.0,ThinkPad T14,HP,13 inch,ST5584,292306231992.0,PO361336,2026-09-13,21.0,CC104,admin1,Mumbai,Active,"03708 Torres Ferry Suite 467, New Julie, MI 41882",2023-09-14,2026-09-13,Q3-2026,jamesgeorge,EMP6059,Todd Warner,Full Time,CC101,Finance,Replacement,2024-04-27,N,Y,Number low return get.,15.0,,,,2026-09
95.0,ThinkPad T14,Apple,13 inch,ST2813,2275493295396.0,PO157473,2026-01-19,29.0,CC102,admin2,Mumbai,Returned,"96322 Shaw Walks, Julietown, CO 50271",2023-01-20,2026-01-19,Q1-2026,mariaday,EMP1311,William Potter,Full Time,CC103,Finance,New Hire,2025-11-04,N,N,Within more like.,7.0,,,,2026-01
96.0,EliteBook 840,HP,14 inch,ST5303,3748830444324.0,PO774669,2027-02-01,16.0,CC104,admin2,Hyderabad,Expired,"USNV Hickman, FPO AP 49872",2024-02-02,2027-02-01,Q1-2027,douglasolsen,EMP5985,Michael Berger,Full Time,CC103,Operations,New Hire,2026-06-27,N,Y,Course make subject exist again first.,20.0,,,,2027-02
97.0,EliteBook 840,Dell,15 inch,ST3003,7936189322462.0,PO916024,2027-05-21,13.0,CC102,admin1,Delhi,Assigned,"396 Terri Plaza, North Matthewton, IA 69585",2024-05-21,2027-05-21,Q2-2027,igarrison,EMP5494,Patrick Vega,Contract,CC101,HR,Replacement,2025-11-04,N,Y,Statement half detail let wear no easy.,23.0,,,,2027-05
98.0,Latitude 5410,HP,14 inch,ST1060,2556607970157.0,PO201823,2026-06-23,24.0,CC102,admin1,Delhi,Active,"892 Carlos Locks Suite 072, Aliciabury, UT 41517",2023-06-24,2026-06-23,Q2-2026,stephenglover,EMP9492,Kimberly Owen,Contract,CC103,HR,Replacement,2023-07-24,N,N,Door present plan century method race history.,12.0,,,,2026-06
99.0,MacBook Pro,Apple,17 inch,ST6638,7072502096822.0,PO900541,2025-12-05,30.0,CC104,admin3,Delhi,Active,"0737 Joseph Haven Suite 344, Bakerport, WY 36043",2022-12-06,2025-12-05,Q4-2025,amykim,EMP3707,Kevin Fernandez,Full Time,CC101,IT,Loner,2025-01-16,Y,Y,Finally nor clearly answer ready create yard.,6.0,,,,2025-12
100.0,ThinkPad T14,HP,13 inch,ST1065,3231131722265.0,PO523003,2026-11-13,19.0,CC102,admin2,Hyderabad,Expired,"23011 Annette Forges Apt. 584, East Kristen, DC 50786",2023-11-14,2026-11-13,Q4-2026,castrojimmy,EMP7997,Edward Combs,Full Time,CC104,Operations,Loner,2025-11-12,N,N,Seat book teach voice nice call.,17.0,,,,2026-11
101.0,Latitude 5410,Apple,14 inch,ST5731,687953981190.0,PO446976,2027-01-31,16.0,CC104,admin2,Mumbai,Expired,"89488 Garza Gardens Suite 589, Port Jimside, ID 32862",2024-02-01,2027-01-31,Q1-2027,wnelson,EMP1619,Stephanie Andrews,Full Time,CC102,HR,Replacement,2025-12-14,Y,N,Similar Mrs ball must good six have.,20.0,,,,2027-01
102.0,Latitude 5410,Apple,16 inch,ST9231,2752812776434.0,PO702264,2025-07-02,35.0,CC102,admin1,Mumbai,Expired,"183 Vincent Isle, Williambury, GA 48239",2022-07-03,2025-07-02,Q3-2025,traviscamacho,EMP9250,William Campbell,Contract,CC102,Finance,Loner,2023-03-13,N,Y,Third hour camera foreign.,1.0,,,,2025-07
103.0,ThinkPad T14,Apple,17 inch,ST4362,7882245110941.0,PO687429,2026-03-02,27.0,CC101,admin3,Hyderabad,Expired,"697 Romero Key, Deannaville, KY 95641",2023-03-03,2026-03-02,Q1-2026,carrie48,EMP4399,Tammy Pace,Intern,CC101,IT,Loner,2025-07-01,N,N,Military care smile sister west their job against.,9.0,,,,2026-03
104.0,Latitude 5410,Dell,16 inch,ST9853,9412462169279.0,PO190812,2025-10-02,32.0,CC102,admin1,Bangalore,Active,"350 Laura Square, South Karistad, NY 45189",2022-10-03,2025-10-02,Q4-2025,harrisandrew,EMP9219,Tracie Cox,Intern,CC102,Operations,Loner,2023-07-08,Y,N,Item despite recognize claim guy forget car.,4.0,,,,2025-10
105.0,MacBook Pro,Dell,14 inch,ST3409,5284391909172.0,PO624320,2025-09-09,33.0,CC103,admin3,Mumbai,Active,"650 Moore Loaf, West Jessica, GA 81410",2022-09-10,2025-09-09,Q3-2025,wendyross,EMP1195,Alexander Doyle,Intern,CC102,Operations,Loner,2024-06-10,N,N,They nation think probably.,3.0,,,,2025-09
106.0,EliteBook 840,HP,14 inch,ST7529,1419099979262.0,PO160272,2026-03-24,27.0,CC101,admin2,Hyderabad,Returned,"1651 Christopher Roads Apt. 283, East Thomas, LA 22807",2023-03-25,2026-03-24,Q1-2026,michaelkidd,EMP9168,Eric Nichols,Full Time,CC104,Finance,Replacement,2025-12-26,N,Y,Best increase billion positive off play.,9.0,,,,2026-03
107.0,MacBook Pro,HP,15 inch,ST2220,8731500119269.0,PO208400,2026-04-12,26.0,CC104,admin2,Hyderabad,Returned,"054 Graham Ramp Apt. 626, Williamsburgh, MI 88466",2023-04-13,2026-04-12,Q2-2026,jason62,EMP2614,Lynn Swanson,Intern,CC104,HR,New Hire,2024-01-02,Y,N,West we trouble since story bag.,10.0,,,,2026-04
108.0,ThinkPad T14,Apple,17 inch,ST2030,6390421562190.0,PO844164,2026-07-28,23.0,CC103,admin3,Delhi,Expired,"1617 Spencer Prairie Suite 634, North Nancy, NC 53576",2023-07-29,2026-07-28,Q3-2026,jose07,EMP5246,Jennifer Thompson,Full Time,CC104,HR,New Hire,2024-08-23,Y,N,Office hotel trial art give operation majority.,13.0,,,,2026-07
109.0,MacBook Pro,Lenovo,16 inch,ST4837,4265560262640.0,PO696470,2025-09-02,33.0,CC104,admin1,Delhi,Active,"58362 Jacob Squares, East Carla, LA 14696",2022-09-03,2025-09-02,Q3-2025,kerry04,EMP3798,Tabitha Hill,Contract,CC101,HR,Loner,2024-04-11,Y,N,National center yet history.,3.0,,,,2025-09
110.0,Latitude 5410,Apple,13 inch,ST4943,4214047999470.0,PO678893,2026-03-03,27.0,CC102,admin2,Hyderabad,Active,"5966 Dunn Flat Apt. 546, Martinport, NC 01090",2023-03-04,2026-03-03,Q1-2026,rlopez,EMP3337,Chad Nelson,Intern,CC103,Finance,New Hire,2023-04-05,N,Y,Raise live media rich us find recently.,9.0,,,,2026-03
111.0,Latitude 5410,Apple,16 inch,ST1949,1513610576173.0,PO682966,2027-03-15,15.0,CC103,admin1,Hyderabad,Returned,"82350 Thomas Points Suite 985, Swansonfort, NH 16930",2024-03-15,2027-03-15,Q1-2027,anthonyortega,EMP1499,Victoria West,Full Time,CC101,Operations,Replacement,2027-03-03,N,N,Attention late believe magazine return.,21.0,,,,2027-03
112.0,EliteBook 840,HP,13 inch,ST6291,8958422580971.0,PO989729,2026-10-07,20.0,CC104,admin2,Mumbai,Expired,"9695 Leslie Track, Johnville, NM 26357",2023-10-08,2026-10-07,Q4-2026,thomas74,EMP3334,Mr. Connor Harmon MD,Contract,CC104,IT,New Hire,2026-02-08,N,N,Any miss suggest structure.,16.0,,,,2026-10
113.0,EliteBook 840,Apple,16 inch,ST6522,9321643246190.0,PO152923,2025-07-14,35.0,CC101,admin2,Bangalore,Returned,"07406 Johnny Road Apt. 968, Joannetown, DC 99450",2022-07-15,2025-07-14,Q3-2025,greerjean,EMP4288,Heidi Davis,Intern,CC104,Finance,Loner,2025-03-02,Y,Y,Defense safe she notice.,1.0,,,,2025-07
114.0,EliteBook 840,Dell,13 inch,ST3044,9189452428530.0,PO618370,2027-01-09,17.0,CC102,admin2,Mumbai,Active,"02752 Charles Ville Apt. 161, New Jesse, SC 68939",2024-01-10,2027-01-09,Q1-2027,jeffery15,EMP7663,Brady Edwards,Full Time,CC104,IT,Loner,2026-09-16,N,Y,Door beautiful else suddenly major art hold.,19.0,,,,2027-01
115.0,ThinkPad T14,HP,17 inch,ST7155,3609132548052.0,PO553942,2026-07-08,23.0,CC104,admin2,Delhi,Assigned,"81462 Amy Points Suite 679, Port Amyport, UT 98059",2023-07-09,2026-07-08,Q3-2026,boydalan,EMP9144,Michele Moss,Intern,CC104,IT,Loner,2025-03-02,Y,Y,Beautiful yeah property director almost should.,13.0,,,,2026-07
116.0,EliteBook 840,Apple,15 inch,ST4486,7087829999060.0,PO519951,2025-08-28,34.0,CC103,admin2,Mumbai,Active,"246 Ray Mission Apt. 619, Scottbury, VT 57879",2022-08-29,2025-08-28,Q3-2025,wharris,EMP5000,Alexis Johnson,Full Time,CC103,IT,Replacement,2024-07-24,N,Y,Really hair ten side section smile rule.,2.0,,,,2025-08
117.0,MacBook Pro,HP,17 inch,ST1410,8115678137100.0,PO921279,2026-06-04,24.0,CC101,admin1,Bangalore,Assigned,"8171 Eaton Pass, Johnsonport, KY 14079",2023-06-05,2026-06-04,Q2-2026,pam79,EMP3692,Donna Russell,Intern,CC102,IT,Replacement,2023-07-02,N,N,Consider believe police yourself.,12.0,,,,2026-06
118.0,MacBook Pro,Lenovo,14 inch,ST5147,140109544224.0,PO882719,2026-07-29,23.0,CC102,admin1,Hyderabad,Returned,"473 Louis Rapid Suite 539, Mayland, UT 99571",2023-07-30,2026-07-29,Q3-2026,kristinemack,EMP1729,Julia Dunn,Full Time,CC104,IT,Loner,2026-02-26,Y,N,Cell forget receive partner realize play media ground.,13.0,,,,2026-07
119.0,ThinkPad T14,HP,14 inch,ST1444,2818195241454.0,PO285536,2026-09-11,21.0,CC102,admin3,Bangalore,Active,"USNS Sanchez, FPO AE 21309",2023-09-12,2026-09-11,Q3-2026,christierichardson,EMP2100,Jesse Lambert,Intern,CC104,Operations,Replacement,2024-11-01,N,Y,Kind adult sport read may.,15.0,,,,2026-09
120.0,ThinkPad T14,Lenovo,16 inch,ST9105,3575989601137.0,PO182217,2026-06-12,24.0,CC101,admin3,Delhi,Assigned,"PSC 2740, Box 5885, APO AA 15592",2023-06-13,2026-06-12,Q2-2026,zfitzpatrick,EMP5957,Joseph Jones,Intern,CC103,IT,Replacement,2023-09-15,Y,Y,My success art rise go.,12.0,,,,2026-06
121.0,Latitude 5410,Dell,15 inch,ST2105,8258653476402.0,PO787248,2026-02-21,28.0,CC102,admin3,Hyderabad,Active,"4378 Hill Curve Suite 004, Port Jamesville, ID 98922",2023-02-22,2026-02-21,Q1-2026,mcintyrealejandra,EMP9087,Thomas Jones,Full Time,CC103,Finance,Replacement,2024-04-30,N,Y,Food certainly whatever reflect.,8.0,,,,2026-02
122.0,Latitude 5410,Dell,17 inch,ST9638,6352742017902.0,PO421318,2025-10-04,32.0,CC104,admin2,Bangalore,Expired,"704 Melissa Lane Suite 722, New Benjaminbury, VA 18277",2022-10-05,2025-10-04,Q4-2025,bharris,EMP8243,Nicole Mcmillan,Intern,CC102,Finance,Loner,2023-10-08,N,Y,All picture lose pattern do member method.,4.0,,,,2025-10
123.0,MacBook Pro,Dell,15 inch,ST3082,6448105282145.0,PO984896,2027-05-12,13.0,CC101,admin3,Delhi,Active,"960 Harper Island Suite 621, Port Vincentview, IN 56667",2024-05-12,2027-05-12,Q2-2027,justin51,EMP1568,Tiffany Davis,Intern,CC102,Finance,New Hire,2026-12-28,N,N,Short although address base office.,23.0,,,,2027-05
124.0,MacBook Pro,Lenovo,13 inch,ST2759,1935686534381.0,PO693478,2026-10-08,20.0,CC102,admin1,Bangalore,Assigned,"506 Marshall Fork, Johnnyburgh, ME 57943",2023-10-09,2026-10-08,Q4-2026,vlivingston,EMP4554,Matthew Yang,Contract,CC104,Finance,Loner,2024-07-21,N,N,Force another left second hope traditional.,16.0,,,,2026-10
125.0,Latitude 5410,Lenovo,14 inch,ST2675,7348124978816.0,PO754444,2026-02-14,28.0,CC103,admin3,Mumbai,Returned,"2017 Moore Ville, Brownmouth, AZ 33011",2023-02-15,2026-02-14,Q1-2026,smithshannon,EMP2158,Carl Delgado,Contract,CC104,Finance,Loner,2023-02-28,Y,N,Environmental military yourself class black.,8.0,,,,2026-02
126.0,MacBook Pro,Dell,17 inch,ST9152,7450309827724.0,PO274170,2027-03-19,15.0,CC104,admin3,Mumbai,Assigned,"641 Sanders Passage Apt. 327, Madisonbury, ID 57172",2024-03-19,2027-03-19,Q1-2027,kristi76,EMP3698,Andre James,Intern,CC102,HR,New Hire,2026-10-14,N,Y,Full notice drop campaign her exist institution three.,21.0,,,,2027-03
127.0,Latitude 5410,Lenovo,14 inch,ST5287,6316787426754.0,PO509937,2025-07-25,35.0,CC101,admin3,Delhi,Expired,"58879 Evans Place, Smithfort, NJ 63397",2022-07-26,2025-07-25,Q3-2025,yorksteven,EMP2899,Victoria Mccoy,Intern,CC103,IT,Replacement,2023-04-21,N,Y,Five check charge ask stock seat.,1.0,,,,2025-07
128.0,MacBook Pro,Dell,15 inch,ST7697,9572540925576.0,PO400031,2027-03-07,15.0,CC101,admin1,Hyderabad,Returned,"591 Sarah Lake Apt. 876, Port Christopher, KY 67160",2024-03-07,2027-03-07,Q1-2027,kimberly69,EMP2094,Jill Moore,Contract,CC103,IT,Replacement,2026-11-03,Y,N,Play quickly others moment simple news light only.,21.0,,,,2027-03
129.0,MacBook Pro,Apple,13 inch,ST3934,4239948150775.0,PO875226,2025-12-22,30.0,CC104,admin3,Mumbai,Expired,"7556 Nicholson Underpass Apt. 774, New Johnborough, IA 73434",2022-12-23,2025-12-22,Q4-2025,jameskhan,EMP2707,Katie Black,Contract,CC101,IT,Replacement,2023-06-04,N,Y,Couple sister us contain space high too room.,6.0,,,,2025-12
130.0,MacBook Pro,Lenovo,17 inch,ST4294,2241789960491.0,PO320147,2026-01-03,29.0,CC102,admin1,Delhi,Assigned,"4177 Rachel Well Apt. 842, Davisborough, LA 21187",2023-01-04,2026-01-03,Q1-2026,cynthia89,EMP9189,Jeffrey Cook,Contract,CC103,HR,New Hire,2024-03-06,Y,N,Performance doctor position budget she.,7.0,,,,2026-01
131.0,MacBook Pro,Apple,13 inch,ST7915,4050843575339.0,PO852067,2026-11-24,19.0,CC104,admin1,Hyderabad,Active,"8363 Henry Meadow Suite 548, South Michael, DC 26004",2023-11-25,2026-11-24,Q4-2026,nfox,EMP3193,Sarah Dougherty,Intern,CC102,HR,Loner,2026-03-18,N,Y,Design night about to care executive at.,17.0,,,,2026-11
132.0,Latitude 5410,Apple,16 inch,ST1175,1197652673344.0,PO691321,2025-11-11,31.0,CC101,admin1,Mumbai,Expired,"896 Liu Haven, Lake Noahchester, IL 87861",2022-11-12,2025-11-11,Q4-2025,figueroabrittany,EMP4196,Roger Underwood,Contract,CC102,Operations,Loner,2023-08-01,Y,N,Against federal bed impact.,5.0,,,,2025-11
133.0,Latitude 5410,Lenovo,16 inch,ST5833,3582762747432.0,PO925733,2025-12-06,30.0,CC101,admin3,Mumbai,Assigned,"0956 Randy Fort, Lake Darylbury, IA 05466",2022-12-07,2025-12-06,Q4-2025,michael41,EMP9270,Chad Anderson,Full Time,CC102,Finance,New Hire,2023-12-08,N,Y,Analysis factor wish far.,6.0,,,,2025-12
134.0,MacBook Pro,Apple,17 inch,ST1041,7785357036256.0,PO889079,2026-03-17,27.0,CC102,admin2,Bangalore,Expired,"53069 Perkins Station Suite 147, South Diamondville, WA 71862",2023-03-18,2026-03-17,Q1-2026,colemanvictoria,EMP7670,Donna Thompson,Full Time,CC103,HR,Replacement,2025-07-19,N,N,Fund the rich instead.,9.0,,,,2026-03
135.0,ThinkPad T14,Dell,17 inch,ST2844,9463388121025.0,PO598109,2026-06-30,23.0,CC103,admin3,Bangalore,Returned,"02992 Rhodes Street Suite 160, Alexaton, ND 06524",2023-07-01,2026-06-30,Q2-2026,robertshelton,EMP9211,Brittany Schmidt,Intern,CC102,HR,Loner,2023-11-22,N,N,Already water forget relate agreement central.,13.0,,,,2026-06
136.0,Latitude 5410,Dell,16 inch,ST6246,942035217377.0,PO492970,2026-12-03,18.0,CC101,admin2,Delhi,Active,"17865 Monica Skyway, Simpsonburgh, AR 22179",2023-12-04,2026-12-03,Q4-2026,cassandra89,EMP8339,Ricky Stevenson,Contract,CC104,Operations,Loner,2024-09-05,Y,N,Political across whole dog.,18.0,,,,2026-12
137.0,MacBook Pro,Dell,13 inch,ST7355,1198420107528.0,PO804762,2026-04-28,26.0,CC101,admin3,Mumbai,Returned,"016 Nicole Roads, Petersonmouth, RI 10863",2023-04-29,2026-04-28,Q2-2026,johntaylor,EMP1471,Ashley Ellis,Full Time,CC103,IT,Replacement,2026-04-25,N,Y,Name spend your state since certainly.,10.0,,,,2026-04
138.0,MacBook Pro,Lenovo,16 inch,ST5389,6988469690267.0,PO208416,2026-05-20,25.0,CC101,admin3,Hyderabad,Assigned,"899 Taylor Parks, Port Johnville, UT 19710",2023-05-21,2026-05-20,Q2-2026,gilbertallison,EMP4433,Jasmine Davidson,Full Time,CC101,HR,New Hire,2023-09-09,Y,N,Next her no enough.,11.0,,,,2026-05
139.0,ThinkPad T14,Dell,13 inch,ST9312,1302418267891.0,PO355914,2025-06-28,36.0,CC102,admin3,Mumbai,Active,"48306 Monica Ridges, Port Margaret, LA 42877",2022-06-29,2025-06-28,Q2-2025,mcculloughjennifer,EMP8778,Stephanie Perez,Contract,CC103,Finance,New Hire,2025-02-20,N,N,Dream although daughter wife computer whatever.,0.0,,,,2025-06
140.0,MacBook Pro,Apple,13 inch,ST4254,4105730599001.0,PO926647,2026-02-23,28.0,CC103,admin1,Bangalore,Returned,"58363 Stephen Hollow Suite 532, Johnsonshire, IL 23711",2023-02-24,2026-02-23,Q1-2026,johnsmith,EMP1545,Amanda Rodriguez,Contract,CC103,Finance,New Hire,2023-10-18,Y,Y,Too field science stuff meet happen thank.,8.0,,,,2026-02
141.0,Latitude 5410,Apple,13 inch,ST4155,9789080946989.0,PO376757,2026-03-07,27.0,CC102,admin3,Bangalore,Assigned,"64435 Long Throughway, Harrisview, LA 35781",2023-03-08,2026-03-07,Q1-2026,bbrown,EMP7270,James Figueroa,Contract,CC102,Operations,Loner,2025-07-10,N,Y,Figure fill form must mean.,9.0,,,,2026-03
142.0,MacBook Pro,Dell,17 inch,ST7735,649905752548.0,PO727896,2027-05-12,13.0,CC102,admin1,Bangalore,Returned,"5116 Christopher Summit Apt. 201, South Jameshaven, NE 92157",2024-05-12,2027-05-12,Q2-2027,caitlyn81,EMP6977,Kelly Lee,Full Time,CC101,HR,Replacement,2027-02-24,Y,Y,Night instead civil carry central information.,23.0,,,,2027-05
143.0,Latitude 5410,Dell,17 inch,ST9025,999879746846.0,PO222390,2025-12-22,30.0,CC103,admin2,Bangalore,Active,"78882 Anderson Ridge Suite 251, Nicolehaven, AR 43001",2022-12-23,2025-12-22,Q4-2025,emily42,EMP2386,Keith Williams,Full Time,CC102,HR,New Hire,2023-10-10,Y,Y,Ability sure eye yet treat natural design.,6.0,,,,2025-12
144.0,MacBook Pro,Lenovo,16 inch,ST6309,2431238131675.0,PO656793,2026-07-27,23.0,CC103,admin2,Hyderabad,Assigned,"60022 Wiley Ports, Lake Brooke, MD 60975",2023-07-28,2026-07-27,Q3-2026,erichardson,EMP4826,Erica Anderson,Full Time,CC103,IT,New Hire,2024-06-21,N,N,Office resource production work individual save.,13.0,,,,2026-07
145.0,Latitude 5410,Dell,13 inch,ST5895,5241009149955.0,PO447258,2026-01-19,29.0,CC104,admin3,Hyderabad,Active,"177 Moore Loop Suite 411, Clarkhaven, MI 48314",2023-01-20,2026-01-19,Q1-2026,stephen99,EMP1533,Stephanie Arnold,Intern,CC102,Operations,Replacement,2023-06-22,Y,Y,Wrong every wide series management by.,7.0,,,,2026-01
146.0,ThinkPad T14,Apple,13 inch,ST1260,8876555080741.0,PO238324,2026-04-19,26.0,CC101,admin1,Mumbai,Active,"7925 Christopher Skyway, Cruzton, MO 63145",2023-04-20,2026-04-19,Q2-2026,xolsen,EMP6450,Dominique Ramos,Contract,CC103,IT,New Hire,2025-03-12,N,N,Past paper style nor plan effect reality.,10.0,,,,2026-04
147.0,EliteBook 840,Apple,15 inch,ST9148,3193455030153.0,PO174003,2027-06-07,12.0,CC103,admin2,Delhi,Active,"69867 Garcia Loaf, North Casey, IL 79877",2024-06-07,2027-06-07,Q2-2027,robertcannon,EMP6322,Shelly Vaughan,Intern,CC102,IT,Replacement,2026-03-04,N,N,Around surface exist machine.,24.0,,,,2027-06
148.0,MacBook Pro,Dell,16 inch,ST9087,665490381796.0,PO269140,2025-06-26,36.0,CC101,admin2,Delhi,Returned,"9918 Brown Fields, West Heather, ME 94292",2022-06-27,2025-06-26,Q2-2025,zcunningham,EMP7994,Sara Rogers,Intern,CC102,HR,Loner,2025-04-21,Y,N,Today population seem force yeah.,0.0,,,,2025-06
149.0,ThinkPad T14,Apple,17 inch,ST6464,8510122562666.0,PO656096,2027-04-12,14.0,CC104,admin3,Delhi,Returned,"315 John Meadows, Shaneview, AK 03398",2024-04-12,2027-04-12,Q2-2027,isavage,EMP3106,Tiffany Morales,Contract,CC101,Finance,Replacement,2026-04-27,Y,N,Detail want bank three or window.,22.0,,,,2027-04
150.0,Latitude 5410,Dell,13 inch,ST7035,1982657639699.0,PO858258,2025-09-03,33.0,CC102,admin2,Bangalore,Active,"USS Burgess, FPO AP 22594",2022-09-04,2025-09-03,Q3-2025,sclay,EMP8823,Erika Macdonald,Contract,CC103,HR,Replacement,2022-09-25,N,N,Cover draw thank conference.,3.0,,,,2025-09
